date	close
1-Jan-14	8.00
1-Jan-13	7.78
1-Jan-12	7.64
1-Jan-11	7.36
1-Jan-10	7.24
1-Jan-09	7.28
1-Jan-08	7.02
1-Jan-07	6.85
